매장명,주소,이벤트,위도,경도,매장ID
양천향교점,"서울특별시 강서구 강서로 471, A동 107호",텐데이 진행,37.5674482048077,126.840573315951,89
양평역점,서울특별시 영등포구 영등포로11길 19 영등포자이 디그니티 아파트상가 103호,텐데이 미진행,37.5253673074738,126.886732629553,1186
여의도역점,서울특별시 영등포구 여의나루로 42 1층 108호,텐데이 진행,37.521470230225,126.924971147893,1026
역삼센트럴점,서울특별시 강남구 언주로 85길 32 역삼센트럴푸르지오시티오피스텔202호,텐데이 진행,37.5009283641885,127.040751330892,429
역삼역점,서울특별시 강남구 논현로 94길 23 지상1층 104호,텐데이 진행,37.5028773660918,127.038216597528,798
영등포역점,서울특별시 영등포구 영등포동4가 432-16,텐데이 진행,37.5168753221605,126.906108610563,1009
오금역점,서울특별시 송파구 양재대로66길 41,텐데이 진행,37.5000746846002,127.125489092415,506
올림픽공원북문점,서울특별시 강동구 성안로 10,텐데이 미진행,37.5247218399502,127.129477360783,1196
용산남영점,"서울특별시 용산구 원효로 97길 19, 1층",텐데이 진행,37.5417832728935,126.969455899501,505
용산아스테리움점,서울특별시 용산구 한강대로30길 25 B,텐데이 진행,37.527358545339,126.968861735609,933
은평구청점,서울특별시 서울 은평구 녹번동 206,텐데이 미진행,37.6017785370596,126.929143882737,662
을지로3가역점,서울특별시 중구 을지로 108 1층,텐데이 진행,37.5660532816543,126.989956138386,1058
잠실새내역점,"서울특별시 송파구 백제고분로7길 49,108호",텐데이 진행,37.510948520197,127.084336791957,1046
잠실신천점,서울특별시 송파구 올림픽로 35길 112 1층 101호,텐데이 진행,37.5178827571707,127.101802779596,363
정릉뉴타운점,서울특별시 성북구 정릉로307 길음뉴타운10단지 라온유상가 109호,텐데이 진행,37.6032285064084,127.017866208389,525
종로5가역점,서울특별시 종로구 대학로1길 6,텐데이 진행,37.5714941802021,127.00157118319,785
종로점,"서울특별시 종로구 삼봉로 60, 103호",텐데이 진행,37.5722870644149,126.980419884203,286
중화역점,서울특별시 중랑구 동일로139길 32,텐데이 진행,37.6034265068248,127.077225501718,1117
창동역점,서울특별시 도봉구 마들로 13길 61 씨드큐브창동 106-3,텐데이 진행,37.6545399298261,127.049926290286,682
천호밀레니얼중앙점,서울특별시 강동구 올림픽로78길 60 강동밀레니얼중흥S클래스아파트 지하1층 9호,텐데이 진행,37.5409734434557,127.128499316444,920
천호역점,"서울특별시 강동구 성내동 50-5, 1층",텐데이 진행,37.5372501761259,127.12630638501,895
청량리역점,서울특별시 동대문구 왕산로36길 6 110호,텐데이 진행,37.579230143677,127.043474539053,1081
충무로3가점,서울특별시 중구 수표로 12,텐데이 진행,37.5622826663749,126.990615713266,1011
태릉역점,서울특별시 노원구 동일로 1000 101호,텐데이 진행,37.6194889944868,127.075526293582,357
포이사거리점,서울특별시 서초구 양재동 276-7,텐데이 진행,37.4765571282233,127.045357378604,882
합정역점,서울특별시 마포구 양화로 72 서교 효성해링턴,텐데이 진행,37.5508138163956,126.916493990351,697
홈플러스강동점,서울특별시 강동구 양재대로1571  홈플러스3F,텐데이 진행,37.5457145865749,127.14225531407,20
홍대서교점,서울특별시 마포구 서교동 331-18,텐데이 진행,37.5561764842409,126.925834404005,1139
홍대패션거리점,서울특별시 마포구 어울마당로 112-6,텐데이 미진행,37.5546666402963,126.923369200074,1174
화곡곰달래점,서울특별시 강서구 국회대로7길 6 1층,텐데이 미진행,37.529929398228,126.860662433152,1183
